id,original,translation
1,你是谁?,Who are you?
2,现在是什么时间?,When is it now?
3,这是一支笔。,This is a pen.
4,你好!,Hello!
5,平行语料库,Parallel corpus
6,你好!,Hello!
7,今天天气很好！,The weather is very good today!
8,我已经学习打篮球两年半了。,I have been learning to play basketball for two and a half years.
9,我们一起去吃饭吧。,Let us go eat together.
10,你怎么样？,How are you?
11,你叫什么名字？,What's your name?
12,我喜欢比萨。,I like pizza.
13,我最喜欢的颜色是蓝色。,My favorite color is blue
14,你来自哪里？,Where are you from?
15,你会说英语吗？,Do you speak English?
16,你多大了？,How old are you?
17,我来自中国。,I am from China.
18,你能帮助我吗？,Can you help me?
